bodyId,x,y,z
519555690,10690,11515,15104
519564501,15921,10700,11728
519573099,9445,12372,12976
519573128,9456,15843,7480
519591210,7261,13473,13152
519616809,8368,13826,11128
519620935,26530,30516,8144
519900699,14962,10329,15088
519905418,10417,11821,14600
519949044,19291,15307,11696
520617773,10005,12048,18344
537945877,12886,13472,7888
538282782,12317,13986,8000
538308362,15010,14668,7872
538576047,7411,14593,7776
538602138,9123,14925,7088
538653955,15245,14290,8096
538908474,6021,15179,7872
538951958,10237,15133,7536
539249493,6464,15294,7760
539254012,6858,15377,8048
539586554,6264,15546,8240
539949478,6206,16120,5856
539949536,6544,15720,6712
539975118,9484,17049,7056
539975122,9681,16563,7616
539983731,11139,16506,7008
540389646,18121,16662,6952
540389734,18999,18126,4680
540657374,546,15982,9856
540730639,19524,17510,6448
540730657,20312,18514,4896
540730738,20203,18972,4568
540998783,1158,13629,11840
541347811,9951,30253,11360
541663112,1482,14124,10160
541697718,32821,9803,23296
541723677,18388,21147,3936
542039038,9289,16400,28392
542056766,329,13098,12624
542371432,16344,15111,9440
542376096,10002,18385,5056
542634818,13135,33944,28560
542665377,19974,34283,33552
542679122,5577,16754,7280
542751938,18875,11698,13136
543010474,20204,35267,33824
543718301,16459,8329,25232
543821838,16724,30934,8032
544021095,22332,35853,22560
544037996,22882,12797,12928
544038294,11022,8920,29152
544107335,1397,23912,10896
544361987,22860,11999,17872
544383511,3596,23340,16848
545444996,11440,31233,19184
545453209,31659,33231,21960
546196205,11027,31969,18528
546765551,13084,33434,24768
546765753,13060,34504,23424
547158593,2747,23761,11008
547240545,26900,29068,5840
547552266,19581,36123,21136
548203966,11193,30330,9472
548549000,13989,15010,8688
548549395,7534,15405,6848
548552875,18618,11924,10592
548552915,16661,10607,11840
548553386,5556,16730,5688
548553494,11073,12788,8584
548562283,4294,26995,17208
548575149,24822,16321,13568
548712377,20183,11994,15360
548872750,4497,18731,4456
548878145,13208,35221,21360
548885313,16483,12030,9808
548885407,11756,11615,16016
548894251,12970,15559,6640
548898403,14968,15876,8256
548898520,15220,15342,9024
548907426,9266,13781,12896
548937579,12576,12502,15552
549219101,9531,30157,10272
549222167,11595,15038,7296
549226277,17567,11196,11008
549230949,18492,11255,11856
549248200,11777,14887,8888
549252548,5720,18869,5920
549257678,5364,21895,4312
549261610,26394,29916,8312
549567614,7337,17276,5352
549571627,9435,16470,6360
549572017,18499,14806,10032
549576117,11256,13498,8808
549576424,16985,12037,10624
549597974,21219,36052,20528
549610772,22111,33934,9856
549899821,17169,15880,7824
549904227,13375,10588,11648
549904387,16740,15051,9120
549908737,15290,16166,8024
549916869,14771,10332,12912
549917317,10929,13830,8656
549955973,20482,36122,16712
550081666,23899,31157,7968
550245056,13575,9777,15336
550271272,7333,15196,7200
550275952,24903,29671,6176
550275987,25901,18612,10976
550280614,3761,26536,17320
550297695,21827,10181,17680
550408954,30822,33604,11136
550422384,23535,28242,3520
550598935,13348,11644,15624
550599514,15974,11640,10304
550617370,6760,18399,6424
550621853,15326,33981,13480
550655668,19199,15756,13456
550988122,23911,17040,13552
551043841,29311,30700,5048
551113395,30768,34404,14324
551303686,27131,30063,6048
551445253,32970,33228,11560
551790504,33815,33757,16200
551790913,33024,33800,13716
568635279,12254,13141,8280
569002579,14683,13417,8368
569278689,8510,13999,8536
569313277,11136,14334,7864
569317846,12080,13677,8560
569334986,14432,14151,8256
569615641,7914,14409,8448
569650323,8128,14974,7312
569939107,6119,15074,8464
569943419,6697,14974,8320
569952115,7577,14871,8288
569952299,7221,15084,8352
569999973,11807,15750,7576
570288900,6131,15278,7400
570314896,8607,15520,7048
570327880,9909,15494,7160
570336412,11591,16164,6648
570336487,10921,15018,6712
570643102,6915,15839,7296
570643109,5720,15971,6192
570643135,6057,15602,6888
570643193,5137,16632,6456
570647225,8608,16059,8128
570647366,6471,16135,7112
570647526,5295,16106,7200
570742510,19521,17236,5664
570742527,19673,16527,6912
570742599,18838,16360,6816
570997147,8657,16572,7704
571044587,15416,17806,6872
571424323,18865,16405,5776
571424636,19577,18211,4992
571424650,18184,17393,6040
571424748,19077,17623,6408
571666400,4454,19102,5440
571778381,20476,18178,6664
571778433,21297,19046,5264
572801466,17760,18936,6240
572988717,2006,26485,17196
573065577,8814,11879,14896
573090850,6848,28641,32000
573333835,22929,35392,24800
573337611,6230,18210,6744
573669915,17475,30548,33296
574032862,15006,36126,29688
574037266,21164,35177,33424
574037281,14527,35815,29264
574374051,14032,35651,24688
574377562,1399,27162,23800
574377845,3207,21768,22176
574736017,9443,11056,21136
574740549,6530,30479,18008
574834955,16993,18922,6424
575081131,937,24768,19544
575405846,11360,9480,19472
575534632,9605,12237,19424
575750788,2679,13366,11416
575768294,8958,30882,18528
575845494,5951,13856,14128
